aluguel,areaTotal,areaUsavel,bairro,banheiros,cidade,codImovel,condominio,garagem,idadeImovel,lat,lon,quartos,suite,valorDeVenda
1800.0,35,35,Jardins,1,São Paulo,2935361551,1100.0,1,33,-23.566936,-46.654515,1,0,410000.0
3700.0,45,45,Itaim Bibi,1,São Paulo,2948603987,0.0,1,39,-23.5833346,-46.6730344,1,1,0.0
10000.0,420,420,Moema,0,São Paulo,2942895843,6400.0,4,24,-23.6047551,-46.666986,4,2,4800000.0
880.0,48,48,Vila Lusitânia,1,São Bernardo do Campo,2948710113,0.0,0,NaN,-23.7120118,-46.557175,1,1,0.0
1500.0,63,63,Presidente Altino,1,Osasco,2948920096,390.0,1,NaN,-23.5307621,-46.7698047,2,0,0.0
2500.0,70,70,Centro,2,São Caetano do Sul,2948858364,435.0,1,NaN,-23.611812,-46.5739956,2,1,0.0
1900.0,60,32,Santana,1,São Paulo,2948161205,700.0,1,20,-23.5001739,-46.624043900000004,1,1,0.0
1350.0,60,60,Paulicéia,2,São Bernardo do Campo,2948297830,400.0,1,NaN,-23.6681362,-46.5811728,2,1,0.0
1670.0,56,56,Bela Vista,1,São Paulo,2934982894,1380.0,1,36,-23.5671761,-46.6458198,1,1,0.0
1300.0,71,71,Jardim Tamoio,1,Jundiaí,2948931152,397.0,1,NaN,-23.1930754,-46.8529825,3,0,0.0
6500.0,105,105,Jardim Paulista,2,São Paulo,2947453182,1659.0,2,NaN,-23.5579309,-46.6664563,4,1,0.0
2350.0,62,62,Casa Verde,2,São Paulo,2948710173,0.0,0,NaN,-23.5135671,-46.6606968,2,0,0.0
3150.0,120,120,Morumbi,5,São Paulo,2948352965,1400.0,2,NaN,-23.6095761,-46.7379414,3,3,0.0
1150.0,80,80,Bosque,2,Campinas,2947693099,520.0,1,NaN,-22.9059011,-47.0514729,2,1,0.0
15000.0,366,366,Alto da Lapa,5,São Paulo,2948019084,4000.0,5,NaN,-23.5332725,-46.7166115,4,4,0.0
800.0,107,107,Bosque,2,Campinas,2946044023,628.0,1,NaN,-22.9107302,-47.0539478,2,0,0.0
1100.0,50,50,Vila Augusta,1,Guarulhos,2948883372,420.0,1,NaN,-23.4770274,-46.5387471,2,0,0.0
2570.0,120,120,Barra Funda,3,São Paulo,2948558014,1015.0,1,NaN,-23.5318158,-46.6617852,3,2,0.0
1460.0,40,40,Itaquera,1,São Paulo,2948610962,90.0,0,NaN,-23.5218241,-46.4386327,2,0,0.0
11000.0,230,230,Jardim Paulista,5,São Paulo,2948041824,3800.0,3,NaN,-23.5651347,-46.6589002,3,3,0.0
10000.0,161,161,Vila Mariana,3,São Paulo,2948646386,2700.0,3,NaN,-23.58273,-46.6473622,3,3,0.0
3952.0,412,412,Vila Invernada,5,São Paulo,2947788005,2000.0,6,NaN,-23.56946,-46.5651942,3,3,0.0
